symbol,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason
BTCUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,5949514574.93,71516.5,True,
ETHUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,4749202479.85,2092.81,True,
BTCUSDC,PERPETUAL,USDC,TRADING,2024-01-03 12:30:00+00:00,1,3,1297498060.3,71517.8,True,
ETHUSDC,PERPETUAL,USDC,TRADING,2024-01-03 12:35:00+00:00,2,3,1214148153.69,2092.95,True,
SOLUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,905767152.1847,87.88,True,
RIVERUSDT,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,548103478.273,23.964,True,
COSUSDT,PERPETUAL,USDT,TRADING,2024-09-30 13:00:00+00:00,7,0,543280023.112664,0.001809,True,
XRPUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,459407204.929,1.4159,True,
TRUMPUSDT,PERPETUAL,USDT,TRADING,2025-01-18 13:00:00+00:00,6,2,454599073.40286,3.962,True,
XANUSDT,PERPETUAL,USDT,TRADING,2025-09-29 10:30:00+00:00,7,0,419426110.748802,0.010716,True,
CUSDT,PERPETUAL,USDT,TRADING,2025-07-15 09:00:00+00:00,7,0,407620480.58656,0.07783,True,
ZECUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,394573655.09,227.16,True,
TAOUSDT,PERPETUAL,USDT,TRADING,2024-04-11 14:30:00+00:00,2,3,386976191.13,272.21,True,
DOGEUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,360058171.56592,0.09546,True,
HYPEUSDT,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,277115831.04874,37.418,True,
LYNUSDT,PERPETUAL,USDT,TRADING,2025-10-06 07:30:00+00:00,7,0,246394594.88438,0.09316,True,
THEUSDT,PERPETUAL,USDT,TRADING,2024-11-27 12:15:00+00:00,7,1,233387521.41651,0.2352,True,
PIXELUSDT,PERPETUAL,USDT,TRADING,2024-02-19 15:00:00+00:00,7,0,214827555.762481,0.011582,True,
BNBUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,2,192898232.936,660.05,True,
1000PEPEUSDT,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,159397240.6379538,0.0033601,True,
APRUSDT,PERPETUAL,USDT,TRADING,2025-10-23 10:30:00+00:00,7,0,145486605.90918,0.17457,True,
BANANAS31USDT,PERPETUAL,USDT,TRADING,2025-03-22 09:15:00+00:00,7,0,138717870.756452,0.009794,True,
SOLUSDC,PERPETUAL,USDC,TRADING,2024-01-03 12:45:00+00:00,4,2,133316781.4047,87.91,True,
SUIUSDT,PERPETUAL,USDT,TRADING,2023-05-03 00:00:00+00:00,6,1,122414769.16288,1.0019,True,
ADAUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,5,0,112863743.0189,0.2634,True,
NEOUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,2,100909845.111,2.913,True,
MYXUSDT,PERPETUAL,USDT,TRADING,2025-06-18 12:30:00+00:00,7,0,99845718.6941,0.4,True,
LINKUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,2,90525693.599,9.162,True,
FILUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,1,89649970.072,0.889,True,
BCHUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,89045059.03,463.07,True,
NEARUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,0,86821057.631,1.331,True,
AVAXUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,0,80938518.05,9.732,True,
DOTUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,1,79763049.382,1.417,True,
PIPPINUSDT,PERPETUAL,USDT,TRADING,2025-01-24 10:15:00+00:00,7,0,77163017.97268,0.36482,True,
SIRENUSDT,PERPETUAL,USDT,TRADING,2025-03-22 09:00:00+00:00,7,0,76301491.76664,0.58398,True,
XRPUSDC,PERPETUAL,USDC,TRADING,2024-01-03 12:50:00+00:00,4,1,61627374.5601,1.4162,True,
ENSOUSDT,PERPETUAL,USDT,TRADING,2025-10-14 09:00:00+00:00,6,1,57502425.96162,1.2216,True,
DEGOUSDT,PERPETUAL,USDT,TRADING,2024-12-13 13:15:00+00:00,7,1,54394411.88171,0.8839,True,
RENDERUSDT,PERPETUAL,USDT,TRADING,2024-07-26 10:00:00+00:00,7,1,53822726.4681,1.833,True,
MBOXUSDT,PERPETUAL,USDT,TRADING,2024-08-28 09:30:00+00:00,7,0,53736057.90961,0.01805,True,
AXSUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,5,0,52846040.726,1.21,True,
FETUSDT,PERPETUAL,USDT,TRADING,2023-01-15 07:00:00+00:00,7,0,52341930.3938,0.1932,True,
ASTERUSDT,PERPETUAL,USDT,TRADING,2025-09-19 12:00:00+00:00,7,0,52138037.0162,0.7145,True,
RESOLVUSDT,PERPETUAL,USDT,TRADING,2025-06-10 13:30:00+00:00,7,0,51466709.39111,0.06706,True,
AAVEUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,1,48612256.851,112.7,True,
BERAUSDT,PERPETUAL,USDT,TRADING,2025-02-06 15:00:00+00:00,6,1,47419221.059,0.6562,True,
SAHARAUSDT,PERPETUAL,USDT,TRADING,2025-06-26 12:00:00+00:00,7,0,46356953.68964,0.02372,True,
LTCUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,44170245.39,55.24,True,
ENAUSDT,PERPETUAL,USDT,TRADING,2024-04-02 12:30:00+00:00,7,0,40532322.6545,0.1079,True,
FLOWUSDT,PERPETUAL,USDT,TRADING,2022-02-09 07:00:00+00:00,7,1,39878251.978556,0.04175,True,
WLDUSDT,PERPETUAL,USDT,TRADING,2023-07-24 12:00:00+00:00,7,0,39821109.5898,0.3576,True,
PUMPUSDT,PERPETUAL,USDT,TRADING,2025-07-10 07:30:00+00:00,7,0,39021173.177248,0.001972,True,
TRXUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,5,0,38664518.38378,0.29756,True,
HBARUSDT,PERPETUAL,USDT,TRADING,2021-03-17 07:00:00+00:00,5,0,38529228.66171,0.09525,True,
CAKEUSDT,PERPETUAL,USDT,TRADING,2023-11-02 12:45:00+00:00,7,0,38225756.2053,1.4562,True,
BLESSUSDT,PERPETUAL,USDT,TRADING,2025-09-23 09:30:00+00:00,7,0,37803765.272825,0.005803,True,
KITEUSDT,PERPETUAL,USDT,TRADING,2025-10-29 10:30:00+00:00,7,0,36242187.67959,0.21768,True,
BEATUSDT,PERPETUAL,USDT,TRADING,2025-11-12 12:15:00+00:00,7,0,36007902.2798,0.429,True,
XPLUSDT,PERPETUAL,USDT,TRADING,2025-08-22 09:30:00+00:00,7,0,34499066.9487,0.1078,True,
SUSDT,PERPETUAL,USDT,TRADING,2025-01-16 10:00:00+00:00,7,0,34201483.86531,0.04624,True,
WIFUSDT,PERPETUAL,USDT,TRADING,2024-01-18 14:15:00+00:00,7,1,33968808.52164,0.1665,True,
PAXGUSDT,PERPETUAL,USDT,TRADING,2025-03-27 10:30:00+00:00,4,3,33005032.1017,5007.4,True,
VIRTUALUSDT,PERPETUAL,USDT,TRADING,2024-12-10 12:30:00+00:00,7,1,31700345.39142,0.7268,True,
DOGEUSDC,PERPETUAL,USDC,TRADING,2024-01-18 10:00:00+00:00,6,0,31466502.39893,0.09546,True,
ICPUSDT,PERPETUAL,USDT,TRADING,2021-07-30 07:00:00+00:00,6,0,30488381.731,2.666,True,
SIGNUSDT,PERPETUAL,USDT,TRADING,2025-04-28 11:00:00+00:00,7,0,30427342.98512,0.04255,True,
CFXUSDT,PERPETUAL,USDT,TRADING,2023-02-19 07:00:00+00:00,7,0,29312489.25177,0.06478,True,
UNIUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,0,29087094.635,3.958,True,
TOWNSUSDT,PERPETUAL,USDT,TRADING,2025-08-05 14:30:00+00:00,7,0,28867925.274252,0.00407,True,
VVVUSDT,PERPETUAL,USDT,TRADING,2025-01-29 08:15:00+00:00,6,2,28515170.49296,6.179,True,
OPUSDT,PERPETUAL,USDT,TRADING,2022-06-01 07:00:00+00:00,7,1,27735725.08196,0.1255,True,
NIGHTUSDT,PERPETUAL,USDT,TRADING,2025-12-10 11:00:00+00:00,7,0,26815022.28525,0.05058,True,
FARTCOINUSDT,PERPETUAL,USDT,TRADING,2024-12-20 18:45:00+00:00,7,1,25851459.45345,0.1633,True,
ZENUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,1,25642533.012,6.037,True,
PENGUUSDT,PERPETUAL,USDT,TRADING,2024-12-17 16:15:00+00:00,7,0,25361767.319396,0.007309,True,
1000SHIBUSDT,PERPETUAL,USDT,TRADING,2021-05-10 07:00:00+00:00,6,0,25087957.565109,0.005847,True,
EIGENUSDT,PERPETUAL,USDT,TRADING,2024-10-01 06:00:00+00:00,7,1,24089779.19923,0.2017,True,
ARBUSDT,PERPETUAL,USDT,TRADING,2023-03-23 07:00:00+00:00,6,1,24037135.34171,0.1016,True,
