symbol,strategy_id,family,entry_time,exit_time,side,net_return,gross_return,exit_reason,bars_held,signal_strength,label_take,target_hit,stop_hit,horizon_hit,mae,mfe,mae_limit_breached,recent_same_side_failures,recent_same_side_mean_return,open,high,low,close,volume,close_time,quote_asset_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,log_return_1,log_return_4,log_return_16,vol_norm_return_4,body_ratio,upper_wick_ratio,lower_wick_ratio,range_ratio,rsi_14,macd_hist,ema_fast_distance,ema_slow_distance,ema_fast_slope,ema_slow_slope,bb_bandwidth,bb_zscore,atr_14,volume_zscore,relative_volume,trend_regime,volatility_regime,drawdown_20,hour_sin,hour_cos,day_of_week,session_bucket,probability,accepted
DOGEUSDT,breakout__atr_filter1.2_directionlong_only_window30,breakout,2026-03-01 02:00:00+00:00,2026-03-01 02:00:00+00:00,long,0.017449429452655825,0.018249429452655824,target,0,2.9516485322199264,1,True,False,False,0.00014997750337464267,0.025202464391447646,0,2,0.004642258473043176,0.09544,0.09786,0.09544,0.09735,353533893.0,2026-03-01 02:14:59.999000+00:00,34273130.97752,66724,193871030.0,18792952.87813,0.019814954028548163,0.043672312020644706,0.034486176071169404,7.527475703896808,0.7892561983471094,0.21074380165289067,0.0,0.024858757062146946,79.15555653051382,0.000169991264089497,0.03323649023742832,0.04514847035551601,0.00641983264410384,0.004698786103631392,0.0370891793402647,1.8484868825709528,0.000819880813580447,3.8607722857675104,4.123267029591292,1.0,0.6,0.0,0.49999999999999994,0.8660254037844387,6,0.0,0.8239984923040277,True
ETHUSDT,breakout__atr_filter1.2_directionlong_only_window30,breakout,2026-03-01 02:00:00+00:00,2026-03-01 02:15:00+00:00,long,0.019591768628157657,0.020391768628157655,target,1,2.444028335271522,1,True,False,False,0.002187830125756598,0.021247475031636934,0,2,0.005177426159541089,2011.62,2052.64,2007.52,2046.55,366859.788,2026-03-01 02:14:59.999000+00:00,747241611.42749,549275,226103.177,460552105.54977,0.01721508100815697,0.04934197650077447,0.04209934855457019,7.12227521713545,0.774157801418443,0.13497340425531767,0.09086879432623934,0.022046859348659888,80.2226256581765,5.128267304794868,0.03831184077522047,0.05053958884870631,0.007641011933056108,0.005036436395967625,0.046408719538909037,1.7530325505661857,18.461324424451583,3.264164415545982,4.505683645758789,1.0,0.93,0.0,0.49999999999999994,0.8660254037844387,6,0.0,0.7969728451543086,True
PIPPINUSDT,trend_ema__directionshort_only_fast21_rsi_threshold55.0_slow89,trend_ema,2026-02-28 06:30:00+00:00,2026-02-28 08:15:00+00:00,short,0.07103041115906951,0.0718304111590695,target,7,0.14345364193976706,1,True,False,False,0.014293432856955291,0.08478798024504287,0,3,0.005420356275298207,0.64492,0.65404,0.62529,0.64518,14302488.0,2026-02-28 06:44:59.999000+00:00,9163012.12709,107580,6418427.0,4114103.06509,0.00018601190529820373,-0.036120174299899,-0.027909072512458426,-1.7208933571971297,0.009043478260867042,0.30817391304347813,0.6827826086956548,0.04456120772497589,42.82731790301165,-0.006154254692566264,-0.03491008502802292,-0.022393651297368065,-0.00790690781740555,2.712734103105241e-05,0.09786785005193081,-0.8961322981941277,0.01925737029848858,2.5662481102318164,2.1187551414390176,1.0,0.48,-0.0796947435988874,1.0,6.123233995736766e-17,5,0.0,0.769323018306705,True
XRPUSDT,breakout__atr_filter1.2_directionlong_only_window30,breakout,2026-03-01 02:00:00+00:00,2026-03-01 02:15:00+00:00,long,0.01938510157804608,0.02018510157804608,target,1,2.101610150814204,1,True,False,False,0.00022128331014220731,0.02159829356077273,0,1,0.0068292213882327965,1.4022,1.4281,1.4021,1.4205,38778632.1,2026-03-01 02:14:59.999000+00:00,55008947.66984,91005,20951796.9,29714726.43568,0.012966490521375416,0.037586006368174316,0.03197354220232896,7.372713161062461,0.7038461538461611,0.2923076923076855,0.003846153846153419,0.01830341429074271,77.55067035803205,0.001951353746580585,0.02944471897129765,0.043002936010758545,0.006441279359711949,0.005154685178285101,0.034667249505900034,1.7096873720428611,0.012371466701341885,2.971481982193133,3.3683324677237736,1.0,0.5,0.0,0.49999999999999994,0.8660254037844387,6,0.0,0.8107046281419329,True
PIPPINUSDT,trend_ema__directionshort_only_fast21_rsi_threshold58.0_slow89,trend_ema,2026-02-18 21:15:00+00:00,2026-02-19 07:00:00+00:00,short,0.06256237730506004,0.06336237730506003,target,39,0.3337575938093704,1,True,False,False,0.018529502243100595,0.0661614124122782,0,0,0.053405804844824836,0.50934,0.5104,0.50375,0.50782,6800316.0,2026-02-18 21:29:59.999000+00:00,3448717.71947,47295,3416924.0,1733812.93354,-0.002870909453920312,-0.015979711401700455,-0.0824785192235659,-2.5587929671361067,0.2285714285714257,0.15939849624059554,0.6120300751879787,0.013095191209483544,33.31212030953148,-0.0031330037038591113,-0.036944753056544884,-0.04040018161953003,-0.011385599039015037,-0.006977558386346949,0.12723741012560252,-0.680197997103048,0.012460313714240568,-0.4487713435750415,0.7983953468863647,-1.0,0.01,-0.09935442678774109,-0.7071067811865477,0.7071067811865474,2,2.0,0.7425843188913342,True
PIPPINUSDT,trend_ema__directionlong_only_fast12_rsi_threshold58.0_slow55,trend_ema,2026-02-18 11:15:00+00:00,2026-02-18 11:30:00+00:00,long,0.09687593178073553,0.09767593178073553,target,1,0.503251489735047,1,True,False,False,0.012980508580449364,0.1320330048817805,0,4,0.0011246712791939842,0.52601,0.56738,0.51926,0.55829,51220924.0,2026-02-18 11:29:59.999000+00:00,28056317.19066,272878,28210278.0,15449523.48878,0.059577327901086066,0.1393079803398982,0.21270191836855068,4.932998465659092,0.6708229426433918,0.18890274314214575,0.1402743142144624,0.086191764136918,75.16257448675235,0.009407411799221348,0.12188698647010214,0.12402963364011585,0.03451162673149888,0.01374167377254687,0.2624971198823955,1.2813456801053833,0.022523454499877388,2.2171122511770998,2.5742916297844674,1.0,1.0,0.0,0.258819045102521,-0.9659258262890682,2,1.0,0.7393525064954665,True
PIPPINUSDT,trend_ema__directionshort_only_fast12_rsi_threshold58.0_slow89,trend_ema,2026-02-18 20:30:00+00:00,2026-02-19 06:45:00+00:00,short,0.06880376504297234,0.06960376504297233,target,41,0.26810318071590616,1,True,False,False,0.007168347045337864,0.07270871680241268,0,0,0.031082926521443545,0.51587,0.51929,0.51384,0.51461,4417542.0,2026-02-18 20:44:59.999000+00:00,2282467.03408,34413,2227759.0,1151306.84672,-0.002697433253743211,-0.01892169440338158,-0.09136119107994055,-1.6687958617527834,0.23119266055046306,0.627522935779805,0.14128440366973194,0.010590544295680352,36.59484096420469,-0.003704648703571939,-0.035047464544908494,-0.03138277565116941,-0.010140190460482756,-0.004881656850560523,0.12517684542722576,-0.6948436916040189,0.013723983082328693,-1.0037209744701132,0.4533980482744982,1.0,0.01,-0.09701702052991745,-0.8660254037844386,0.5000000000000001,2,2.0,0.7369882521582416,True
PIPPINUSDT,trend_ema__directionshort_only_fast21_rsi_threshold52.0_slow89,trend_ema,2026-03-03 05:45:00+00:00,2026-03-03 06:15:00+00:00,short,-0.021415441234098487,-0.02061544123409849,stop,2,0.514801891990154,0,False,True,False,0.02462954529899776,0.02795194683866259,0,1,0.03490678840482721,0.53563,0.53857,0.52058,0.53486,9960782.0,2026-03-03 05:59:59.999000+00:00,5279326.60595,63800,4317826.0,2291384.01151,-0.0014385937893792275,-0.04995934595554376,-0.06456072296267887,-5.8962955862491535,0.042801556420236274,0.16342412451361593,0.7937743190661478,0.033634969898664976,24.2599054004923,-0.003887417857295525,-0.04209219396760429,-0.04420559850705643,-0.011562136456702343,-0.004467557306164438,0.07475646017682695,-1.2942647474369202,0.008119652469605977,3.5734418301745055,4.377291433970417,-1.0,0.58,-0.06252081397998344,0.9659258262890683,0.25881904510252074,1,0.0,0.6955407219254243,True
PIPPINUSDT,trend_ema__directionshort_only_fast12_rsi_threshold55.0_slow89,trend_ema,2026-02-27 00:45:00+00:00,2026-02-27 06:00:00+00:00,short,0.05003619516268705,0.05083619516268705,target,21,0.30115963473691293,1,True,False,False,0.01873034358152816,0.05260128800441136,0,3,-0.002308955800886807,0.80958,0.81351,0.7985,0.79921,3327035.0,2026-02-27 00:59:59.999000+00:00,2680183.15367,42134,1484898.0,1196967.44748,-0.012941262016810116,-0.01270655647853494,-0.06777008408913857,-1.2637898285507696,0.6908727514990015,0.2618254497001997,0.047301798800798794,0.018781046283204626,34.94201826315435,-0.0028058836628876965,-0.03136532698460828,-0.039096007381986396,-0.007431674717241155,-0.006254240140352363,0.07554403127958065,-0.9332920699471227,0.016356351865774,0.037267628512357355,1.019501653100301,-1.0,0.34,-0.0655247003800058,0.0,1.0,4,0.0,0.6816784717237068,True
PIPPINUSDT,trend_ema__directionlong_only_fast12_rsi_threshold58.0_slow55,trend_ema,2026-03-04 21:15:00+00:00,2026-03-04 21:30:00+00:00,long,0.06546963290230391,0.06626963290230391,target,1,0.34698114124348534,1,True,False,False,0.009719291146387697,0.09098770722244834,0,5,-0.025605537763454096,0.34898,0.35732,0.34564,0.35635,7165752.0,2026-03-04 21:29:59.999000+00:00,2525766.73249,51231,3907975.0,1377976.7256,0.0208987799777958,0.05417012165811379,0.07488322374440286,2.261130088958354,0.6309931506849291,0.08304794520548155,0.2859589041095893,0.03277676441700582,67.34905706217427,0.003044036295803656,0.057838635825041625,0.05774568791484151,0.016156973998872726,0.007941805476590735,0.14088146483342678,1.0252517017847715,0.009425519759638684,-0.3437893492982421,0.7722449066686669,-1.0,0.83,0.0,-0.7071067811865477,0.7071067811865474,2,2.0,0.6801019430003908,True
PIPPINUSDT,trend_ema__directionlong_only_fast12_rsi_threshold58.0_slow55,trend_ema,2026-03-09 15:15:00+00:00,2026-03-09 15:30:00+00:00,long,0.03166670633098969,0.03246670633098969,target,1,0.5077912787070841,1,True,False,False,0.005165602155162129,0.03708365961754192,0,3,-0.0008275661696677631,0.33889,0.34559,0.33719,0.34297,8834794.0,2026-03-09 15:29:59.999000+00:00,3016240.4789,52351,4670246.0,1595301.71489,0.011790375906954063,0.03401517015801148,0.06869717922131441,3.8995879722949907,0.4857142857142814,0.3119047619047626,0.20238095238095608,0.02449193807038522,75.3895639353542,0.002217155926666098,0.04383061713666867,0.045406746058924044,0.010915263789094354,0.00563867481001612,0.08347171721052353,1.3017298595716167,0.004687308644649437,3.293081765136705,3.2261719794861556,1.0,1.0,0.0,-0.7071067811865471,-0.7071067811865479,0,1.0,0.6670670869338166,True
PIPPINUSDT,trend_ema__directionshort_only_fast12_rsi_threshold58.0_slow89,trend_ema,2026-02-16 22:00:00+00:00,2026-02-16 22:30:00+00:00,short,0.039353323926132715,0.04015332392613272,target,2,0.3187835419897061,1,True,False,False,0.0016076130146750714,0.06228343773062198,0,3,-0.02039107780360112,0.69989,0.70091,0.6927,0.69337,4184185.0,2026-02-16 22:14:59.999000+00:00,2917315.25972,33884,2027641.0,1414446.25303,-0.009359412593732727,-0.02952925706434076,-0.04152728535507716,-2.991939130098816,0.7941534713763617,0.12423873325213333,0.08160779537150491,0.011840719961925162,34.060822900514694,-0.0030007434236834028,-0.028369081849331786,-0.031363960545442306,-0.007102275182322204,-0.003771440752137978,0.06425563805135379,-1.0281521926361072,0.011023086508580651,-0.4093643520631475,0.7076842434253772,-1.0,0.43,-0.06400010799427625,-0.5000000000000004,0.8660254037844384,0,2.0,0.5901337144187729,True
PIPPINUSDT,trend_ema__directionshort_only_fast12_rsi_threshold58.0_slow89,trend_ema,2026-02-25 09:30:00+00:00,2026-02-25 11:45:00+00:00,short,0.042458140403148735,0.04325814040314874,target,9,0.19810171237628268,1,True,False,False,0.007696200915296382,0.044129417601829306,0,3,-0.006106477308890286,0.78197,0.78787,0.77902,0.77911,2898119.0,2026-02-25 09:44:59.999000+00:00,2268854.94928,30465,1460688.0,1143865.43986,-0.003664134060821695,-0.021145390266909748,-0.034464856428816436,-1.6247533240340752,0.32316384180792235,0.6666666666666625,0.010169491525415181,0.011359114887499728,40.094914381185866,-0.0013863798553565045,-0.01851638831228695,-0.024637231600683675,-0.005842539184346629,-0.0037284854964980685,0.056309697461848995,-0.6954558686179323,0.013194412081598682,-0.5438375587655588,0.7607525782800985,-1.0,0.53,-0.04504449292770829,0.7071067811865476,-0.7071067811865475,2,1.0,0.5524943882577529,True
