symbol,family,trade_count,expectancy,precision,avg_probability
PIPPINUSDT,trend_ema,33,0.035202583142718485,0.7878787878787878,0.9456783829517053
PIPPINUSDT,breakout,1,0.02424034117499239,1.0,1.0
DOGEUSDT,breakout,3,0.016773349320475497,1.0,0.9737373737373738
ETHUSDT,breakout,4,0.01097151577875207,0.75,0.8956416390626917
ZECUSDT,trend_ema,45,0.010925223903591538,0.7333333333333333,0.9122993067666612
1000PEPEUSDT,trend_ema,49,0.010024828023354332,0.7346938775510204,0.9266144415644424
XRPUSDT,trend_ema,50,0.006668721744446782,0.74,0.9117410233516403
ETHUSDT,trend_ema,41,0.006251215918439984,0.7317073170731707,0.8783864996335888
SOLUSDT,trend_ema,42,0.005477157413950974,0.6904761904761905,0.9068080494501455
DOGEUSDT,trend_ema,45,0.005429033951433644,0.6444444444444445,0.9110717474440103
XRPUSDT,breakout,2,0.004547647180399516,0.5,0.9230769230769231
BTCUSDT,trend_ema,34,0.003977675496243686,0.7352941176470589,0.8886340858370999
SOLUSDT,breakout,2,-0.014405043777876748,0.0,0.823607427055703
