symbol,strategy_id,family,entry_time,exit_time,side,net_return,gross_return,exit_reason,bars_held,signal_strength,label_take,target_hit,stop_hit,horizon_hit,mae,mfe,mae_limit_breached,recent_same_side_failures,recent_same_side_mean_return,open,high,low,close,volume,close_time,quote_asset_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,log_return_1,log_return_4,log_return_16,vol_norm_return_4,body_ratio,upper_wick_ratio,lower_wick_ratio,range_ratio,rsi_14,macd_hist,ema_fast_distance,ema_slow_distance,ema_fast_slope,ema_slow_slope,bb_bandwidth,bb_zscore,atr_14,volume_zscore,relative_volume,trend_regime,volatility_regime,drawdown_20,hour_sin,hour_cos,day_of_week,session_bucket,probability,accepted
SOLUSDT,trend_ema__directionshort_only_fast21_rsi_threshold55.0_slow55,trend_ema,2026-02-15 14:00:00+00:00,2026-02-15 19:30:00+00:00,short,0.017758495143606903,0.018558495143606902,target,22,0.35360685494984184,1,True,False,False,0.010734838110221221,0.02044434699255275,0,0,0.017706878297498174,86.93,87.15,86.61,87.03,497951.5,2026-02-15 14:14:59.999000+00:00,43265854.6877,40720,240692.19,20916682.4909,0.0011496897104494154,-0.013127293128369327,-0.025860576894372402,-2.326630069435901,0.18518518518517252,0.22222222222222807,0.5925925925925994,0.0062047569803516745,32.31965725250791,-0.2749334333896466,-0.016722374360332182,-0.019531280112424994,-0.005468645863976995,-0.0033355559525108935,0.04718844482779194,-0.8656069922161431,0.6377035388963493,0.5095655963300785,1.3793405012188342,-1.0,0.96,-0.03567867036011074,-0.4999999999999997,-0.8660254037844388,6,1.0,0.8314170344638809,True
SOLUSDT,trend_ema__directionshort_only_fast21_rsi_threshold58.0_slow55,trend_ema,2026-02-15 14:00:00+00:00,2026-02-15 19:30:00+00:00,short,0.017758495143606903,0.018558495143606902,target,22,0.35360685494984184,1,True,False,False,0.010734838110221221,0.02044434699255275,0,0,0.014451083252429914,86.93,87.15,86.61,87.03,497951.5,2026-02-15 14:14:59.999000+00:00,43265854.6877,40720,240692.19,20916682.4909,0.0011496897104494154,-0.013127293128369327,-0.025860576894372402,-2.326630069435901,0.18518518518517252,0.22222222222222807,0.5925925925925994,0.0062047569803516745,32.31965725250791,-0.2749334333896466,-0.016722374360332182,-0.019531280112424994,-0.005468645863976995,-0.0033355559525108935,0.04718844482779194,-0.8656069922161431,0.6377035388963493,0.5095655963300785,1.3793405012188342,-1.0,0.96,-0.03567867036011074,-0.4999999999999997,-0.8660254037844388,6,1.0,0.8209910118551781,True
BTCUSDT,trend_ema__directionboth_fast21_rsi_threshold55.0_slow89,trend_ema,2026-02-15 14:00:00+00:00,2026-02-15 17:45:00+00:00,short,0.009952274831689563,0.010752274831689564,target,15,0.4839398513919676,1,True,False,False,0.004835286557989337,0.010811289188211913,0,0,0.009911771240723849,68907.2,69082.8,68811.5,68926.0,2517.921,2026-02-15 14:14:59.999000+00:00,173682295.6416,73399,1099.413,75839741.1533,0.0002727934941159398,-0.007898964903223773,-0.019199070046418337,-2.27446141977963,0.06929598230741876,0.5779579800958394,0.35274603759674183,0.003936105388387588,25.80300743040162,-168.77824022042188,-0.012060845985879488,-0.01497696630687909,-0.00422748646336335,-0.0029124289213839916,0.035254453557412066,-0.8512002618325901,294.5321201949024,0.2868582457487019,1.2599068790522001,-1.0,0.97,-0.023600407978241145,-0.4999999999999997,-0.8660254037844388,6,1.0,0.8009162397075553,True
SOLUSDT,trend_ema__directionboth_fast12_rsi_threshold52.0_slow89,trend_ema,2026-02-15 14:00:00+00:00,2026-02-15 19:30:00+00:00,short,0.017758495143606903,0.018558495143606902,target,22,0.35360685494984184,1,True,False,False,0.010734838110221221,0.02044434699255275,0,0,0.011195288207361659,86.93,87.15,86.61,87.03,497951.5,2026-02-15 14:14:59.999000+00:00,43265854.6877,40720,240692.19,20916682.4909,0.0011496897104494154,-0.013127293128369327,-0.025860576894372402,-2.326630069435901,0.18518518518517252,0.22222222222222807,0.5925925925925994,0.0062047569803516745,32.31965725250791,-0.2749334333896466,-0.016722374360332182,-0.019531280112424994,-0.005468645863976995,-0.0033355559525108935,0.04718844482779194,-0.8656069922161431,0.6377035388963493,0.5095655963300785,1.3793405012188342,-1.0,0.96,-0.03567867036011074,-0.4999999999999997,-0.8660254037844388,6,1.0,0.8173326801862466,True
SOLUSDT,trend_ema__directionshort_only_fast12_rsi_threshold58.0_slow89,trend_ema,2026-02-15 14:00:00+00:00,2026-02-15 19:30:00+00:00,short,0.017758495143606903,0.018558495143606902,target,22,0.35360685494984184,1,True,False,False,0.010734838110221221,0.02044434699255275,0,0,0.0079394931622934,86.93,87.15,86.61,87.03,497951.5,2026-02-15 14:14:59.999000+00:00,43265854.6877,40720,240692.19,20916682.4909,0.0011496897104494154,-0.013127293128369327,-0.025860576894372402,-2.326630069435901,0.18518518518517252,0.22222222222222807,0.5925925925925994,0.0062047569803516745,32.31965725250791,-0.2749334333896466,-0.016722374360332182,-0.019531280112424994,-0.005468645863976995,-0.0033355559525108935,0.04718844482779194,-0.8656069922161431,0.6377035388963493,0.5095655963300785,1.3793405012188342,-1.0,0.96,-0.03567867036011074,-0.4999999999999997,-0.8660254037844388,6,1.0,0.8066087461050234,True
SOLUSDT,trend_ema__directionshort_only_fast21_rsi_threshold52.0_slow55,trend_ema,2026-02-15 14:00:00+00:00,2026-02-15 19:30:00+00:00,short,0.017758495143606903,0.018558495143606902,target,22,0.35360685494984184,1,True,False,False,0.010734838110221221,0.02044434699255275,0,0,0.004683698117225141,86.93,87.15,86.61,87.03,497951.5,2026-02-15 14:14:59.999000+00:00,43265854.6877,40720,240692.19,20916682.4909,0.0011496897104494154,-0.013127293128369327,-0.025860576894372402,-2.326630069435901,0.18518518518517252,0.22222222222222807,0.5925925925925994,0.0062047569803516745,32.31965725250791,-0.2749334333896466,-0.016722374360332182,-0.019531280112424994,-0.005468645863976995,-0.0033355559525108935,0.04718844482779194,-0.8656069922161431,0.6377035388963493,0.5095655963300785,1.3793405012188342,-1.0,0.96,-0.03567867036011074,-0.4999999999999997,-0.8660254037844388,6,1.0,0.8022094372209801,True
BTCUSDT,trend_ema__directionshort_only_fast21_rsi_threshold55.0_slow89,trend_ema,2026-02-15 14:00:00+00:00,2026-02-15 17:45:00+00:00,short,0.009952274831689563,0.010752274831689564,target,15,0.4839398513919676,1,True,False,False,0.004835286557989337,0.010811289188211913,0,0,0.009900198786162216,68907.2,69082.8,68811.5,68926.0,2517.921,2026-02-15 14:14:59.999000+00:00,173682295.6416,73399,1099.413,75839741.1533,0.0002727934941159398,-0.007898964903223773,-0.019199070046418337,-2.27446141977963,0.06929598230741876,0.5779579800958394,0.35274603759674183,0.003936105388387588,25.80300743040162,-168.77824022042188,-0.012060845985879488,-0.01497696630687909,-0.00422748646336335,-0.0029124289213839916,0.035254453557412066,-0.8512002618325901,294.5321201949024,0.2868582457487019,1.2599068790522001,-1.0,0.97,-0.023600407978241145,-0.4999999999999997,-0.8660254037844388,6,1.0,0.8009162397075553,True
SOLUSDT,trend_ema__directionboth_fast12_rsi_threshold55.0_slow89,trend_ema,2026-02-15 14:00:00+00:00,2026-02-15 19:30:00+00:00,short,0.017758495143606903,0.018558495143606902,target,22,0.35360685494984184,1,True,False,False,0.010734838110221221,0.02044434699255275,0,0,0.0014279030721568837,86.93,87.15,86.61,87.03,497951.5,2026-02-15 14:14:59.999000+00:00,43265854.6877,40720,240692.19,20916682.4909,0.0011496897104494154,-0.013127293128369327,-0.025860576894372402,-2.326630069435901,0.18518518518517252,0.22222222222222807,0.5925925925925994,0.0062047569803516745,32.31965725250791,-0.2749334333896466,-0.016722374360332182,-0.019531280112424994,-0.005468645863976995,-0.0033355559525108935,0.04718844482779194,-0.8656069922161431,0.6377035388963493,0.5095655963300785,1.3793405012188342,-1.0,0.96,-0.03567867036011074,-0.4999999999999997,-0.8660254037844388,6,1.0,0.782973925211612,True
BTCUSDT,trend_ema__directionshort_only_fast21_rsi_threshold52.0_slow89,trend_ema,2026-02-15 14:00:00+00:00,2026-02-15 17:45:00+00:00,short,0.009952274831689563,0.010752274831689564,target,15,0.4839398513919676,1,True,False,False,0.004835286557989337,0.010811289188211913,0,0,0.009894412558881401,68907.2,69082.8,68811.5,68926.0,2517.921,2026-02-15 14:14:59.999000+00:00,173682295.6416,73399,1099.413,75839741.1533,0.0002727934941159398,-0.007898964903223773,-0.019199070046418337,-2.27446141977963,0.06929598230741876,0.5779579800958394,0.35274603759674183,0.003936105388387588,25.80300743040162,-168.77824022042188,-0.012060845985879488,-0.01497696630687909,-0.00422748646336335,-0.0029124289213839916,0.035254453557412066,-0.8512002618325901,294.5321201949024,0.2868582457487019,1.2599068790522001,-1.0,0.97,-0.023600407978241145,-0.4999999999999997,-0.8660254037844388,6,1.0,0.8009162397075553,True
BTCUSDT,trend_ema__directionshort_only_fast21_rsi_threshold58.0_slow89,trend_ema,2026-02-15 14:00:00+00:00,2026-02-15 17:45:00+00:00,short,0.009952274831689563,0.010752274831689564,target,15,0.4839398513919676,1,True,False,False,0.004835286557989337,0.010811289188211913,0,0,0.009905985013443032,68907.2,69082.8,68811.5,68926.0,2517.921,2026-02-15 14:14:59.999000+00:00,173682295.6416,73399,1099.413,75839741.1533,0.0002727934941159398,-0.007898964903223773,-0.019199070046418337,-2.27446141977963,0.06929598230741876,0.5779579800958394,0.35274603759674183,0.003936105388387588,25.80300743040162,-168.77824022042188,-0.012060845985879488,-0.01497696630687909,-0.00422748646336335,-0.0029124289213839916,0.035254453557412066,-0.8512002618325901,294.5321201949024,0.2868582457487019,1.2599068790522001,-1.0,0.97,-0.023600407978241145,-0.4999999999999997,-0.8660254037844388,6,1.0,0.8009162397075553,True
