symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,16453638484.35,70600.1,True,,2026-03-19T06:34:53.256076+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,16035668217.52,2182.04,True,,2026-03-19T06:34:53.256076+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2403663468.7862,89.65,True,,2026-03-19T06:34:53.256076+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,960902162.014,1.4655,True,,2026-03-19T06:34:53.256076+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,871482863.23509,41.406,True,,2026-03-19T06:34:53.256076+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,709374347.75,244.41,True,,2026-03-19T06:34:53.256076+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,640647474.76896,0.09425,True,,2026-03-19T06:34:53.256076+00:00
SIRENUSDT,SIREN,PERPETUAL,USDT,TRADING,2025-03-22 09:00:00+00:00,7,0,548820898.47609,0.95716,True,,2026-03-19T06:34:53.256076+00:00
BARDUSDT,BARD,PERPETUAL,USDT,TRADING,2025-09-18 11:00:00+00:00,7,0,477429014.3248,0.6112,True,,2026-03-19T06:34:53.256076+00:00
LYNUSDT,LYN,PERPETUAL,USDT,TRADING,2025-10-06 07:30:00+00:00,7,0,437725143.55251,0.08148,True,,2026-03-19T06:34:53.256076+00:00
