symbol,strategy_id,family,entry_time,exit_time,side,net_return,gross_return,exit_reason,bars_held,signal_strength,label_take,target_hit,stop_hit,horizon_hit,mae,mfe,mae_limit_breached,recent_same_side_failures,recent_same_side_mean_return,open,high,low,close,volume,close_time,quote_asset_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,log_return_1,log_return_4,log_return_16,vol_norm_return_4,body_ratio,upper_wick_ratio,lower_wick_ratio,range_ratio,rsi_14,macd_hist,ema_fast_distance,ema_slow_distance,ema_fast_slope,ema_slow_slope,bb_bandwidth,bb_zscore,atr_14,volume_zscore,relative_volume,trend_regime,volatility_regime,drawdown_20,hour_sin,hour_cos,day_of_week,session_bucket
XRPUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-11-17 00:30:00+00:00,2025-11-17 12:30:00+00:00,long,0.01254152098461047,0.01334152098461047,horizon,48,0.19840793789108374,1,False,False,True,0.003735757832407258,0.023426528160014618,0,0,0.0,2.2307,2.2495,2.2261,2.229,11268081.8,2025-11-17 00:44:59.999000+00:00,25225791.40692,64064,5636195.3,12620356.82023,-0.0007623831568673045,0.005713915620240784,0.006120080303036604,1.2316473547320173,0.07264957264957525,0.8034188034188031,0.12393162393162166,0.010497981157469556,59.92039689455419,0.003658968426933441,0.008884481419544068,0.007843908960725888,0.002391074024986395,0.0009046559801881848,0.02574701625032943,0.7556673017976477,0.02115587326528864,0.39432740552471107,1.2686079057087023,-1.0,0.73,-0.0007620926166673758,0.0,1.0,0,0.0
DOGEUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-11-17 01:00:00+00:00,2025-11-17 13:00:00+00:00,long,0.005741538158818394,0.006541538158818395,horizon,48,0.18913053000658395,1,False,False,True,0.010093444702334017,0.019174119128565564,0,0,0.0,0.15988,0.16013,0.15915,0.15949,65036868.0,2025-11-17 01:14:59.999000+00:00,10379288.3451,21785,25708014.0,4103720.0659,-0.0024423095084600906,0.008816733226566216,0.025142585278193852,1.86513993206158,0.39795918367347866,0.25510204081633175,0.34693877551018965,0.006144585867452385,59.4565265003292,0.0003781997769656222,0.008509802814562416,0.006130435737457348,0.00335040366573236,0.001155542970679324,0.03832539263923626,0.6330247976538913,0.0013990007022777096,-0.3327849261740445,0.7553764744275173,-1.0,,-0.0024393294971228885,0.25881904510252074,0.9659258262890683,0,0.0
SOLUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-11-17 01:15:00+00:00,2025-11-17 09:15:00+00:00,long,0.021716845928337124,0.022516845928337123,target,32,0.19783153062146894,1,True,False,False,0.007133879871213063,0.023537691352489787,0,0,0.0,138.87,139.06,138.2,138.85,233836.05,2025-11-17 01:29:59.999000+00:00,32404568.8642,35712,121971.54,16898759.5427,-7.201757231890648e-05,0.004185918352281741,0.02353735649711249,0.8761584589612289,0.0232558139534999,0.22093023255813338,0.7558139534883667,0.006193734245588864,59.89157653107345,0.31912764315414854,0.00868883009620769,0.006790808207349687,0.0032952291729946293,0.0014219463168816393,0.0327990710724327,0.7547002718601287,1.223028131598708,-0.4004117975429571,0.7363900992051746,-1.0,0.7,-0.0019407705577919598,0.25881904510252074,0.9659258262890683,0,0.0
BTCUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-11-17 01:30:00+00:00,2025-11-17 13:15:00+00:00,long,-0.00702689497910731,-0.006226894979107309,signal_exit,47,0.14215655759448112,0,False,False,False,0.007152991553423341,0.008931235102205169,0,0,0.0,95116.2,95116.2,94855.0,94880.0,643.944,2025-11-17 01:44:59.999000+00:00,61169013.6191,38355,267.527,25412600.9843,-0.0024863667976805595,0.0021735239678283154,0.015123267974290722,0.686269939168905,0.9042879019908105,0.0,0.09571209800918942,0.002752951096121386,57.107827879724056,156.41646029786168,0.004298821823941008,0.003059495991701271,0.002019704093092489,0.0009639509088716913,0.02566297585103826,0.5860398353719638,513.7867683100618,-1.2265623365128662,0.3035338895284727,-1.0,0.75,-0.0039305270937615155,0.25881904510252074,0.9659258262890683,0,0.0
ETHUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-11-17 01:30:00+00:00,2025-11-17 09:15:00+00:00,long,0.02285228217506197,0.02365228217506197,target,31,0.15346392879969145,1,True,False,False,0.009573361501181658,0.024292223302022357,0,0,0.0,3139.59,3141.77,3127.27,3128.92,24908.85,2025-11-17 01:44:59.999000+00:00,78081152.87883,73293,9313.801,29197195.36389,-0.003401135925977217,0.0014776389893897033,0.02104824122582216,0.31434779554106224,0.7358620689655223,0.1503448275861956,0.11379310344828214,0.0046341868759827674,57.67319643998457,7.155889703219943,0.00724880840958308,0.0050057411852186375,0.0028819087695128864,0.0012590168362049958,0.03383176194930601,0.6679006311851492,28.621568449594186,-0.7443251588183439,0.3987323712169431,-1.0,0.63,-0.003395358614846522,0.25881904510252074,0.9659258262890683,0,0.0
TAOUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-11-17 04:00:00+00:00,2025-11-17 06:00:00+00:00,long,-0.015673817407381774,-0.014873817407381773,stop,8,0.295662193579484,0,False,True,False,0.01514347005389283,0.0015531372690980529,0,0,0.0,328.76,329.32,327.41,328.49,5029.469,2025-11-17 04:14:59.999000+00:00,1651776.06204,13367,1867.416,613318.70086,-0.0007911874309623432,0.011419948066766352,0.03251790834044899,1.916659962885531,0.14136125654449544,0.293193717277493,0.5654450261780115,0.005814484459191964,64.7831096789742,0.8131403811436495,0.01595943746041316,0.015302497730516064,0.005072584907897193,0.0022427497007875274,0.03348160373134491,1.0170848872604268,3.163973622746288,-0.05933538384574885,0.9618216446257702,-1.0,0.41,-0.0007908745247148241,0.8660254037844386,0.5000000000000001,0,0.0
HYPEUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-11-17 21:15:00+00:00,2025-11-18 01:15:00+00:00,long,0.02579977323644874,0.02659977323644874,target,16,0.15049257818145903,1,True,False,False,0.015647523705854014,0.028288019778174925,0,0,0.0,38.71,38.71,38.296,38.448,116165.32,2025-11-17 21:29:59.999000+00:00,4467606.3659,16850,51092.51,1964826.61947,-0.006817118379831744,0.0074402191519296855,0.02044265729016328,1.1400983096066242,0.6328502415458925,0.0,0.36714975845410747,0.010767790262172323,57.52462890907295,0.12024867951962703,0.010576321773392959,0.008640089295408996,0.004615979012983384,0.0016023019177369147,0.03581997626600042,0.7738632869551562,0.41215176446745744,-0.7421124145607552,0.7214720764773077,-1.0,0.84,-0.006793934540569868,-0.7071067811865477,0.7071067811865474,0,2.0
TAOUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-11-18 02:15:00+00:00,2025-11-18 06:45:00+00:00,long,-0.015097762780755974,-0.014297762780755974,signal_exit,18,0.29861591675898863,0,False,False,False,0.015238857145105106,0.026733951504864597,0,1,-0.015673817407381774,318.73,323.91,315.5,323.04,16113.433,2025-11-18 02:29:59.999000+00:00,5155603.53614,34152,9131.484,2922255.74614,0.013431805158486682,0.009173948314122358,0.025679819629775565,1.2423044402111088,0.5124851367419726,0.1034482758620692,0.3840665873959582,0.026033927686973823,64.93079583794943,1.223883898451618,0.022171084891865134,0.02039767281241151,0.004826454248562317,0.0024078299456249397,0.050833295113691744,1.0742107933139433,4.113174030122551,2.0426030520264065,2.12421629031974,-1.0,0.67,0.0,0.49999999999999994,0.8660254037844387,1,0.0
SOLUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-11-18 05:00:00+00:00,2025-11-18 14:30:00+00:00,long,0.02828437100831922,0.029084371008319218,target,38,0.2956221492149808,1,True,False,False,0.004799412948996659,0.032027067802835124,0,0,0.021716845928337124,135.48,136.06,134.85,135.8,422210.47,2025-11-18 05:14:59.999000+00:00,57208084.0355,71515,220003.54,29814689.1034,0.0024330015319508768,0.019331457018307158,0.03172019380373955,2.357842237825183,0.2644628099173715,0.2148760330578423,0.5206611570247862,0.008910162002945567,64.78110746074904,0.34999317532537055,0.020170840850916385,0.01930896738980223,0.004975456485031504,0.001623291342938149,0.049860592490534796,0.9667689790582286,1.5502068936666147,-0.022569105377761037,0.9867809786816678,-1.0,0.89,0.0,0.9659258262890683,0.25881904510252074,1,0.0
SIRENUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-11-18 05:30:00+00:00,2025-11-18 06:45:00+00:00,long,-0.014407773571580481,-0.013607773571580481,stop,5,0.331686650562076,0,False,True,False,0.016557053608859226,0.011348998912435172,0,0,0.0,0.0713,0.07212,0.07128,0.07179,164145.0,2025-11-18 05:44:59.999000+00:00,11780.02921,345,105620.0,7582.95174,0.007690732166930881,0.02667954134862702,0.014875379540493252,4.864021966964405,0.5833333333333334,0.3928571428571358,0.02380952380953089,0.011700793982448911,66.5843325281038,0.00011961748572380061,0.018033954736724846,0.01928912858799202,0.0036405637136680546,0.0011625531260570643,0.03365777899123059,1.0456912667344191,0.000663568441918876,-0.016223535596095937,0.9695778186443413,1.0,,0.0,0.9659258262890683,0.25881904510252074,1,0.0
