2026-03-19 22:59:51,526 | INFO | binance_quant.orchestration.research_loop | Research progress stage=starting details={'hypothesis': 'Continuous loop iteration 122: narrower_universe'}
2026-03-19 22:59:51,534 | INFO | binance_quant.orchestration.research_loop | Research progress stage=parity_passed details={'parity_checks': 1}
2026-03-19 22:59:52,014 | INFO | binance_quant.exchange.universe | Universe discovery found 6 eligible symbols
2026-03-19 22:59:52,033 | INFO | binance_quant.orchestration.research_loop | Research progress stage=universe_ready details={'symbol_count': 6, 'symbols': ['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'XRPUSDT', 'HYPEUSDT', 'DOGEUSDT']}
2026-03-19 22:59:52,194 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 1, 'total_symbols': 6, 'current_symbol': 'BTCUSDT'}
2026-03-19 22:59:52,300 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 2, 'total_symbols': 6, 'current_symbol': 'ETHUSDT'}
2026-03-19 22:59:52,400 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 3, 'total_symbols': 6, 'current_symbol': 'SOLUSDT'}
2026-03-19 22:59:52,501 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 4, 'total_symbols': 6, 'current_symbol': 'XRPUSDT'}
2026-03-19 22:59:52,602 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 5, 'total_symbols': 6, 'current_symbol': 'HYPEUSDT'}
2026-03-19 22:59:52,706 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 6, 'total_symbols': 6, 'current_symbol': 'DOGEUSDT'}
2026-03-19 22:59:52,707 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_started details={'template_count': 5}
2026-03-19 23:19:22,671 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 1, 'total_templates': 5, 'family': 'trend_ema', 'family_variant_count': 81, 'survivors_so_far': 17}
2026-03-19 23:21:17,674 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 2, 'total_templates': 5, 'family': 'trend_pullback', 'family_variant_count': 8, 'survivors_so_far': 17}
